"prov_name_en","prov_name_fr","prov_or_territory","prov_iso2c","region","pop_in_2021Q1"
"Alberta","Alberta","province","AB","Prairies",4436258
"British Columbia","Colombie-Britannique","province","BC","British Columbia",5153039
"Manitoba","Manitoba","province","MB","Prairies",1380935
"New Brunswick","Nouveau-Brunswick","province","NB","Atlantic",782078
"Newfoundland and Labrador","Terre-Neuve-et-Labrador","province","NL","Atlantic",520438
"Nova Scotia","Nouvelle-Écosse","province","NS","Atlantic",979449
"Ontario","Ontario","province","ON","Ontario",14755211
"Prince Edward Island","Île-du-Prince-Édouard","province","PE","Atlantic",159819
"Quebec","Québec","province","QC","Quebec",8575944
"Saskatchewan","Saskatchewan","province","SK","Prairies",1178832
"North-West Territories","Territoires du Nord-Ouest","territory","NT","Territories",45136
"Nunavut","Nunavut","territory","NU","Territories",39407
"Yukon","Yukon","territory","YT","Territories",42192
