"name_en","name_fr","iso2c","region","sgc_code","pop_2021"
"Alberta","Alberta","AB","Prairies",48,4436258
"British Columbia","Colombie-Britannique","BC","British Columbia",59,5153039
"Manitoba","Manitoba","MB","Prairies",46,1380935
"New Brunswick","Nouveau-Brunswick","NB","Atlantic",13,782078
"Newfoundland and Labrador","Terre-Neuve-et-Labrador","NL","Atlantic",10,520438
"Nova Scotia","Nouvelle-Écosse","NS","Atlantic",12,979449
"Ontario","Ontario","ON","Ontario",35,14755211
"Prince Edward Island","Île-du-Prince-Édouard","PE","Atlantic",11,159819
"Quebec","Québec","QC","Quebec",24,8575944
"Saskatchewan","Saskatchewan","SK","Prairies",47,1178832
"North-West Territories","Territoires du Nord-Ouest","NT","Territories",62,45136
"Nunavut","Nunavut","NU","Territories",60,39407
"Yukon","Yukon","YT","Territories",61,42192
